invitation_code,first_name,last_name,email,is_child
couple,First1,Last,email1@example.com,0
couple,First2,Last,email2@example.com,0
single,First,Last,email@example.com,0
children,First1,Last,email1@example.com,0
children,First2,Last,email2@example.com,0
children,Child1,Last,email3@example.com,1
children,Child2,Last,email4@example.com,1
plusone,First,Last,email@example.com,0
pluschildren,First,Last,email@example.com,0
cafriend,First,Last,email@example.com,0
cafamily,First,Last,email@example.com,0
hkfriend,First,Last,email@example.com,0
hkfamily,First,Last,email@example.com,0
bothfriend,First,Last,email@example.com,0
bothfamily,First,Last,email@example.com,0
